year_month,회사구분,산업,총계,
200101,정유사,"18,786","18,786",단위(톤)
200102,정유사,"31,063","31,063",
200103,정유사,"95,192","95,192",
200104,정유사,"161,437","161,437",
200105,정유사,"176,527","176,527",
200106,정유사,"174,338","174,338",
200107,정유사,"131,949","131,949",
200108,정유사,"174,500","174,500",
200109,정유사,"213,406","213,406",
200110,정유사,"162,373","162,373",
200111,정유사,"231,850","231,850",
200112,정유사,"210,975","210,975",
200201,정유사,"44,976","44,976",
200202,정유사,"44,277","44,277",
200203,정유사,"114,824","114,824",
200204,정유사,"157,291","157,291",
200205,정유사,"217,101","217,101",
200206,정유사,"156,575","156,575",
200207,정유사,"116,685","116,685",
200208,정유사,"107,844","107,844",
200209,정유사,"151,560","151,560",
200210,정유사,"171,889","171,889",
200211,정유사,"211,490","211,490",
200212,정유사,"177,511","177,511",
200301,정유사,"49,218","49,218",
200302,정유사,"86,550","86,550",
200303,정유사,"70,575","70,575",
200304,정유사,"104,384","104,384",
200305,정유사,"156,171","156,171",
200306,정유사,"170,798","170,798",
200307,정유사,"119,662","119,662",
200308,정유사,"152,750","152,750",
200309,정유사,"158,202","158,202",
200310,정유사,"190,338","190,338",
200311,정유사,"188,538","188,538",
200312,정유사,"257,198","257,198",
200401,정유사,"56,024","56,024",
200402,정유사,"55,387","55,387",
200403,정유사,"126,294","126,294",
200404,정유사,"164,565","164,565",
200405,정유사,"177,861","177,861",
200406,정유사,"203,095","203,095",
200407,정유사,"139,521","139,521",
200408,정유사,"141,171","141,171",
200409,정유사,"165,050","165,050",
200410,정유사,"209,923","209,923",
200411,정유사,"212,921","212,921",
200412,정유사,"233,242","233,242",
200501,정유사,"50,864","50,864",
200502,정유사,"30,782","30,782",
200503,정유사,"106,588","106,588",
200504,정유사,"155,452","155,452",
200505,정유사,"171,479","171,479",
200506,정유사,"182,879","182,879",
200507,정유사,"139,427","139,427",
200508,정유사,"160,338","160,338",
200509,정유사,"168,723","168,723",
200510,정유사,"143,223","143,223",
200511,정유사,"217,707","217,707",
200512,정유사,"166,600","166,600",
200601,정유사,"54,065","54,065",
200602,정유사,"87,044","87,044",
200603,정유사,"127,679","127,679",
200604,정유사,"137,738","137,738",
200605,정유사,"165,099","165,099",
200606,정유사,"162,464","162,464",
200607,정유사,"92,099","92,099",
200608,정유사,"168,196","168,196",
200609,정유사,"202,589","202,589",
200610,정유사,"137,023","137,023",
200611,정유사,"196,023","196,023",
200612,정유사,"216,782","216,782",
200701,정유사,"68,866","68,866",
200702,정유사,"81,741","81,741",
200703,정유사,"89,081","89,081",
200704,정유사,"145,328","145,328",
200705,정유사,"193,024","193,024",
200706,정유사,"170,488","170,488",
200707,정유사,"135,429","135,429",
200708,정유사,"106,629","106,629",
200709,정유사,"125,149","125,149",
200710,정유사,"238,845","238,845",
200711,정유사,"206,931","206,931",
200712,정유사,"197,675","197,675",
200801,정유사,"63,907","63,907",
200802,정유사,"52,256","52,256",
200803,정유사,"100,278","100,278",
200804,정유사,"79,290","79,290",
200805,정유사,"161,611","161,611",
200806,정유사,"125,971","125,971",
200807,정유사,"169,967","169,967",
200808,정유사,"116,731","116,731",
200809,정유사,"139,203","139,203",
200810,정유사,"160,750","160,750",
200811,정유사,"204,702","204,702",
200812,정유사,"229,107","229,107",
200901,정유사,"56,958","56,958",
200902,정유사,"117,515","117,515",
200903,정유사,"165,092","165,092",
200904,정유사,"210,295","210,295",
200905,정유사,"216,016","216,016",
200906,정유사,"221,919","221,919",
200907,정유사,"152,806","152,806",
200908,정유사,"158,132","158,132",
200909,정유사,"200,189","200,189",
200910,정유사,"152,679","152,679",
200911,정유사,"177,603","177,603",
200912,정유사,"187,674","187,674",
201001,정유사,"67,431","67,431",
201002,정유사,"50,654","50,654",
201003,정유사,"124,332","124,332",
201004,정유사,"184,552","184,552",
201005,정유사,"174,767","174,767",
201006,정유사,"210,484","210,484",
201007,정유사,"166,157","166,157",
201008,정유사,"118,586","118,586",
201009,정유사,"140,086","140,086",
201010,정유사,"178,226","178,226",
201011,정유사,"224,234","224,234",
201012,정유사,"156,130","156,130",
201101,정유사,"43,757","43,757",
201102,정유사,"75,768","75,768",
201103,정유사,"102,379","102,379",
201104,정유사,"140,360","140,360",
201105,정유사,"148,008","148,008",
201106,정유사,"180,724","180,724",
201107,정유사,"131,245","131,245",
201108,정유사,"130,201","130,201",
201109,정유사,"177,370","177,370",
201110,정유사,"186,258","186,258",
201111,정유사,"179,322","179,322",
201112,정유사,"186,791","186,791",
201201,정유사,"87,744","87,744",
201202,정유사,"47,040","47,040",
201203,정유사,"117,388","117,388",
201204,정유사,"141,686","141,686",
201205,정유사,"179,163","179,163",
201206,정유사,"207,355","207,355",
201207,정유사,"121,266","121,266",
201208,정유사,"110,899","110,899",
201209,정유사,"161,211","161,211",
201210,정유사,"141,331","141,331",
201211,정유사,"176,808","176,808",
201212,정유사,"148,217","148,217",
201301,정유사,"49,398","49,398",
201302,정유사,"74,014","74,014",
201303,정유사,"108,457","108,457",
201304,정유사,"144,276","144,276",
201305,정유사,"176,402","176,402",
201306,정유사,"222,526","222,526",
201307,정유사,"132,075","132,075",
201308,정유사,"141,364","141,364",
201309,정유사,"137,056","137,056",
201310,정유사,"172,858","172,858",
201311,정유사,"184,129","184,129",
201312,정유사,"182,314","182,314",
201401,정유사,"55,139","55,139",
201402,정유사,"66,464","66,464",
201403,정유사,"85,748","85,748",
201404,정유사,"143,005","143,005",
201405,정유사,"163,365","163,365",
201406,정유사,"188,051","188,051",
201407,정유사,"121,127","121,127",
201408,정유사,"116,820","116,820",
201409,정유사,"112,830","112,830",
201410,정유사,"139,489","139,489",
201411,정유사,"163,112","163,112",
201412,정유사,"146,122","146,122",
201501,정유사,"57,119","57,119",
201502,정유사,"67,480","67,480",
201503,정유사,"94,809","94,809",
201504,정유사,"131,813","131,813",
201505,정유사,"177,035","177,035",
201506,정유사,"167,016","167,016",
201507,정유사,"125,437","125,437",
201508,정유사,"135,935","135,935",
201509,정유사,"152,550","152,550",
201510,정유사,"166,176","166,176",
201511,정유사,"155,197","155,197",
201512,정유사,"216,398","216,398",
201601,정유사,"45,965","45,965",
201602,정유사,"60,022","60,022",
201603,정유사,"127,859","127,859",
201604,정유사,"155,100","155,100",
201605,정유사,"185,446","185,446",
201606,정유사,"207,443","207,443",
201607,정유사,"130,442","130,442",
201608,정유사,"155,746","155,746",
201609,정유사,"158,986","158,986",
201610,정유사,"184,584","184,584",
201611,정유사,"220,309","220,309",
201612,정유사,"219,572","219,572",
201701,정유사,"54,598","54,598",
201702,정유사,"56,496","56,496",
201703,정유사,"132,205","132,205",
201704,정유사,"187,239","187,239",
201705,정유사,"209,999","209,999",
201706,정유사,"221,887","221,887",
201707,정유사,"133,520","133,520",
201708,정유사,"150,796","150,796",
201709,정유사,"193,464","193,464",
201710,정유사,"138,475","138,475",
201711,정유사,"221,593","221,593",
201712,정유사,"179,677","179,677",
201801,정유사,"42,606","42,606",
201802,정유사,"43,148","43,148",
201803,정유사,"120,281","120,281",
201804,정유사,"199,054","199,054",
201805,정유사,"187,907","187,907",
201806,정유사,"201,718","201,718",
201807,정유사,"149,270","149,270",
201808,정유사,"88,664","88,664",
201809,정유사,"161,931","161,931",
201810,정유사,"189,444","189,444",
201811,정유사,"167,322","167,322",
201812,정유사,"170,531","170,531",
201901,정유사,"58,246","58,246",
201902,정유사,"71,520","71,520",
201903,정유사,"113,366","113,366",
201904,정유사,"148,310","148,310",
201905,정유사,"187,720","187,720",
201906,정유사,"178,490","178,490",
201907,정유사,"167,278","167,278",
201908,정유사,"94,331","94,331",
201909,정유사,"154,754","154,754",
201910,정유사,"135,118","135,118",
201911,정유사,"195,417","195,417",
201912,정유사,"198,271","198,271",
202001,정유사,"71,464","71,464",
202002,정유사,"28,504","28,504",
202003,정유사,"111,430","111,430",
202004,정유사,"179,289","179,289",
202005,정유사,"211,793","211,793",
202006,정유사,"190,046","190,046",
