date,demand,season,platt_apag_mom_pct,platt_crude_mom_pct,temp_avg,precip_avg,threshold_temp_days,threshold_rainy_days,possible_working_days,avg_weight
200101,18786.0,0,10.533980582524261,8.54272756206238,-2.617516129032258,2.119862068965517,8.0,0.0,15.0,0.034
200102,31063.0,0,1.6840814516234426,-5.4568179069247496,0.5836428571428571,3.207809523809524,0.0,0.0,20.0,0.0359
200103,95192.0,1,2.7748556767158483,3.1277985617088833,5.205774193548387,0.90388,0.0,0.0,22.0,0.0679
200104,161437.0,1,6.730583630332299,6.120181442587236,12.494833333333334,2.1845,0.0,0.0,21.0,0.0913
200105,176527.0,1,-8.69306201085822,-0.035053750428593045,18.08158064516129,2.0283333333333333,0.0,0.0,23.0,0.1065
200106,174338.0,2,-3.8794032375461085,-8.665839251377594,21.608933333333333,10.140222222222222,0.0,2.0,19.0,0.1117
200107,131949.0,2,8.128636787633802,4.675928893627201,25.357290322580646,12.960758620689656,0.0,2.0,20.0,0.0767
200108,174500.0,2,4.401265250790787,-1.6534009324422394,25.00461290322581,4.561193548387097,0.0,0.0,23.0,0.0765
200109,213406.0,3,-14.150006021919792,-18.619532321646492,20.339766666666666,5.11988888888889,0.0,1.0,19.0,0.0937
200110,162373.0,3,-16.462177673269295,-10.004560707241872,15.055677419354838,4.376214285714285,0.0,1.0,22.0,0.0981
200111,231850.0,3,5.078320028529881,0.9118744371542808,6.308833333333333,0.9278571428571428,0.0,0.0,22.0,0.112
200112,210975.0,0,-1.2014348296009225,3.6642579947678833,0.024193548387096746,1.7560434782608696,0.0,0.0,21.0,0.1085
200201,44976.0,0,7.113677201141533,2.909989792530099,0.7403870967741936,2.93596,1.0,0.0,22.0,0.034
200202,44277.0,0,13.429757672790421,20.74744978441474,1.9958571428571428,0.4697058823529412,0.0,0.0,20.0,0.0359
200203,114824.0,1,10.230535015224017,6.754222316793768,7.5799677419354845,2.8994545454545455,0.0,0.0,21.0,0.0679
200204,157291.0,1,5.611066694574718,0.7325179018055961,13.1694,7.359909090909091,0.0,2.0,20.0,0.0913
200205,217101.0,1,-4.290309322563934,-3.162050812542927,16.659451612903226,4.853192307692307,0.0,1.0,22.0,0.1065
200206,156575.0,2,4.088677952431019,3.1507580309830585,20.91596666666667,3.72012,0.0,0.0,20.0,0.1117
200207,116685.0,2,5.106155727680384,2.3093014610446883,24.28383870967742,8.514838709677418,0.0,2.0,21.0,0.0767
200208,107844.0,2,5.38431933282868,6.207273932708679,23.587774193548388,21.04158064516129,0.0,6.0,16.0,0.0765
200209,151560.0,3,-7.413096686731658,-1.8072524147615843,19.663433333333334,4.49712,0.0,0.0,21.0,0.0937
200210,171889.0,3,-7.015676456331288,-11.417306420032213,12.275193548387097,3.7978181818181813,0.0,0.0,23.0,0.0981
200211,211490.0,3,10.945611866501848,10.375007659470148,4.250966666666667,1.1420454545454546,0.0,0.0,21.0,0.112
200212,177511.0,0,11.415925170033558,8.900514532147552,1.6629354838709678,2.3265357142857144,1.0,0.0,21.0,0.1085
200301,49218.0,0,8.747405969716592,7.116550374918118,-2.432032258064516,1.5385833333333334,7.0,0.0,16.0,0.034
200302,86550.0,0,-9.142366716390459,-8.788076686135227,1.9062142857142859,2.055148148148148,0.0,0.0,20.0,0.0359
200303,70575.0,1,-13.241346737736992,-14.346090631603658,5.666290322580645,2.319695652173913,0.0,0.0,21.0,0.0679
200304,104384.0,1,0.12501458179414726,3.8700048732943415,12.2277,9.167954545454545,0.0,2.0,20.0,0.0913
200305,156171.0,1,5.902524937716391,4.704626626708808,17.296612903225807,8.312541666666666,0.0,3.0,19.0,0.1065
200306,170798.0,2,6.790159872573875,4.75269128815321,20.703366666666668,8.51112,0.0,2.0,19.0,0.1117
200307,119662.0,2,-4.8234180484760465,3.5244581400367903,22.272161290322583,16.543290322580646,0.0,6.0,17.0,0.0767
200308,152750.0,2,-4.497238221440847,-8.279264100194316,23.53767741935484,12.5449,0.0,3.0,18.0,0.0765
200309,158202.0,3,2.4760187522538724,7.512788582998109,20.57606666666667,11.358600000000001,0.0,2.0,20.0,0.0937
200310,190338.0,3,-1.5101254752133308,1.3202518583036005,13.004806451612904,1.778823529411765,0.0,0.0,23.0,0.0981
200311,188538.0,3,-0.9594338749110976,1.694333441030249,9.2963,3.805272727272728,0.0,0.0,20.0,0.112
200312,257198.0,0,5.074981948237678,2.7710359324131906,1.4229354838709676,0.8352727272727273,0.0,0.0,23.0,0.1085
200401,56024.0,0,-0.3657469984893025,-0.9284653442793167,-1.4738709677419355,0.8741363636363637,5.0,0.0,17.0,0.034
200402,55387.0,0,-1.3191632577295165,7.806429529965175,2.503551724137931,2.047521739130435,0.0,0.0,20.0,0.0359
200403,126294.0,1,3.911894104959779,2.713015183945,6.097774193548387,2.2974375,0.0,0.0,23.0,0.0679
200404,164565.0,1,8.98817068018587,9.628477388520661,12.630266666666667,5.853125,0.0,1.0,21.0,0.0913
200405,177861.0,1,-3.4337952643989977,-3.7672993481255967,17.19293548387097,4.826037037037037,0.0,1.0,20.0,0.1065
200406,203095.0,2,0.3878856809210518,3.665930411234597,21.636033333333334,12.012904761904762,0.0,4.0,18.0,0.1117
200407,139521.0,2,4.475333184897745,11.244076821115922,25.00483870967742,12.155233333333333,0.0,5.0,17.0,0.0767
200408,141171.0,2,-3.5590330633867184,-7.776365275963782,24.73709677419355,12.654357142857142,0.0,3.0,19.0,0.0765
200409,165050.0,3,10.189005993532962,5.609124523343745,20.484766666666665,7.304464285714286,0.0,2.0,20.0,0.0937
200410,209923.0,3,-6.556365928327034,-7.069003785981098,13.800451612903224,1.0687727272727272,0.0,0.0,21.0,0.0981
200411,212921.0,3,-14.241067915480244,-1.9667654109694177,8.5694,3.0124000000000004,0.0,0.0,22.0,0.112
200412,233242.0,0,10.85975175844014,10.861838533182988,2.571096774193548,1.440130434782609,0.0,0.0,23.0,0.1085
200501,50864.0,0,10.054307982355827,5.137931085003156,-1.6431290322580645,0.8294074074074075,1.0,0.0,20.0,0.034
200502,30782.0,0,14.779735502097878,14.982353283961402,-1.0343571428571428,1.9611904761904764,4.0,0.0,16.0,0.0359
200503,106588.0,1,12.30715313945594,2.973109521448647,4.454354838709678,3.424304347826087,0.0,0.0,23.0,0.0679
200504,155452.0,1,-1.4965116766432973,-3.825029255104506,12.994233333333334,3.8058500000000004,0.0,0.0,21.0,0.0913
200505,171479.0,1,2.4933916085336127,12.521357701513303,16.80658064516129,4.8659375,0.0,0.0,22.0,0.1065
200506,182879.0,2,1.6877292404139599,3.4172139073279872,22.193766666666665,7.8933478260869565,0.0,2.0,20.0,0.1117
200507,139427.0,2,6.704508445591029,7.139046712192432,24.70448387096774,12.041620689655172,0.0,5.0,16.0,0.0767
200508,160338.0,2,12.880228491934954,-0.11203064580246336,24.74651612903226,11.415366666666667,0.0,2.0,21.0,0.0765
200509,168723.0,3,-1.923556768675616,-4.556160460646696,21.296833333333332,9.649241379310343,0.0,3.0,19.0,0.0937
200510,143223.0,3,-6.2714427094787695,-4.766407511670801,13.853129032258064,2.924653846153846,0.0,1.0,20.0,0.0981
200511,217707.0,3,-0.9949179365540295,3.521401165815785,7.786933333333334,1.7303333333333335,0.0,0.0,22.0,0.112
200512,166600.0,0,6.696929119951145,9.853557234415833,-2.8645483870967743,1.06225,8.0,0.0,14.0,0.1085
200601,54065.0,0,5.746972184636134,-1.428815879534584,0.06238709677419355,1.9896,3.0,0.0,19.0,0.034
200602,87044.0,0,1.9939251739517605,0.3671933671216765,0.7640357142857143,1.7482,3.0,0.0,17.0,0.0359
200603,127679.0,1,4.9755817212650655,10.943519743273722,5.57883870967742,0.6908461538461539,0.0,0.0,23.0,0.0679
200604,137738.0,1,-0.013939376104499246,1.3357386475304267,11.036533333333333,4.172185185185185,0.0,0.0,20.0,0.0913
200605,165099.0,1,-5.559509507768623,0.3384257591186435,17.16616129032258,6.174357142857143,0.0,2.0,21.0,0.1065
200606,162464.0,2,4.655946298189151,6.048749081121785,21.179333333333332,5.985571428571428,0.0,1.0,21.0,0.1117
200607,92099.0,2,-6.129634301361541,-0.5790116869481277,22.925129032258063,22.277677419354838,0.0,10.0,11.0,0.0767
200608,168196.0,2,-11.288810777937952,-13.013957127968611,26.20364516129032,7.1044,0.0,0.0,23.0,0.0765
200609,202589.0,3,0.3843245967741771,-5.670966894481877,19.1723,2.5219615384615386,0.0,0.0,21.0,0.0937
200610,137023.0,3,-6.026849841574,0.5180912850336394,16.408225806451615,2.4394615384615386,0.0,0.0,22.0,0.0981
200611,196023.0,3,1.2564355275581862,3.470553113391639,8.3101,2.8384074074074075,0.0,0.0,22.0,0.112
200612,216782.0,0,3.8465858041329737,-11.416132028048299,1.4163870967741936,1.0244583333333332,2.0,0.0,19.0,0.1085
200701,68866.0,0,4.305132472547157,7.2467485278873145,0.4135161290322581,0.7525,0.0,0.0,23.0,0.034
200702,81741.0,0,4.086472793882656,5.468686305025661,3.691642857142857,2.7433333333333336,0.0,0.0,20.0,0.0359
200703,89081.0,1,11.846521189216276,8.78658807614261,6.469967741935484,4.581888888888889,0.0,1.0,21.0,0.0679
200704,145328.0,1,-0.10571706223623245,1.0043937691072369,11.350466666666668,2.042826086956522,0.0,0.0,21.0,0.0913
200705,193024.0,1,4.348779811268422,1.8263359411563096,17.504580645161287,4.5574814814814815,0.0,0.0,23.0,0.1065
200706,170488.0,2,8.218825852254618,5.6266818094633075,21.561566666666668,3.9795384615384615,0.0,0.0,21.0,0.1117
200707,135429.0,2,-2.924854564746937,-3.0363187415171966,23.442354838709676,8.986870967741936,0.0,1.0,21.0,0.0767
200708,106629.0,2,4.387687325398115,8.873958196309406,25.816967741935485,12.012354838709676,0.0,2.0,21.0,0.0765
200709,125149.0,3,12.932276677398779,5.126222764043087,21.023500000000002,13.180533333333333,0.0,5.0,15.0,0.0937
200710,238845.0,3,12.607827377351622,12.638533519856754,14.599064516129033,2.7422142857142857,0.0,0.0,23.0,0.0981
200711,206931.0,3,-4.143971198758312,-1.4851832343485194,6.548500000000001,2.0370476190476188,0.0,0.0,22.0,0.112
200712,197675.0,0,-0.4638713013768947,2.090007089165069,2.0826774193548387,1.4212962962962963,0.0,0.0,21.0,0.1085
200801,63907.0,0,-0.4148160528814615,3.0375651942471826,-0.747258064516129,1.8484,2.0,0.0,21.0,0.034
200802,52256.0,0,5.144979999638011,7.482007238030652,-0.8848620689655173,0.4672631578947368,1.0,0.0,20.0,0.0359
200803,100278.0,1,5.781667432307658,6.878102312541179,6.667548387096774,2.8088636363636366,0.0,0.0,21.0,0.0679
200804,79290.0,1,12.124255344566205,15.554236911912401,12.8008,3.0806842105263157,0.0,0.0,22.0,0.0913
200805,161611.0,1,7.938877061728822,6.963235179843141,17.20106451612903,5.625227272727273,0.0,1.0,21.0,0.1065
200806,125971.0,2,14.244913722107055,2.7035511275628643,20.287533333333332,7.3575,0.0,2.0,19.0,0.1117
200807,169967.0,2,-7.601296699143168,-14.030435095983618,25.83448387096774,10.28374193548387,0.0,4.0,19.0,0.0767
200808,116731.0,2,-12.071292365410645,-15.020660110872598,24.37141935483871,8.090321428571428,0.0,3.0,18.0,0.0765
200809,139203.0,3,-32.68918126959775,-29.69877772330993,21.103299999999997,2.9823749999999998,0.0,0.0,22.0,0.0937
200810,160750.0,3,-40.53526051377416,-26.07320690751138,15.371354838709678,2.8629411764705885,0.0,0.0,23.0,0.0981
200811,204702.0,3,-5.267704606259871,-18.677835180819578,7.358466666666668,1.4928181818181818,0.0,0.0,20.0,0.112
200812,229107.0,0,13.481588880738427,8.85737027788922,1.2979354838709676,1.1909166666666666,1.0,0.0,22.0,0.1085
200901,56958.0,0,1.739452919516049,-2.3415320752916524,-1.6844838709677419,1.0954347826086956,5.0,0.0,17.0,0.034
200902,117515.0,0,-4.309726602025677,5.792843730880404,3.610071428571428,2.2362380952380954,0.0,0.0,20.0,0.0359
200903,165092.0,1,18.008570900589895,9.902878784965141,6.562290322580646,3.3673499999999996,0.0,0.0,22.0,0.0679
200904,210295.0,1,20.0493144692232,15.474451340639295,12.302200000000001,3.977933333333333,0.0,1.0,21.0,0.0913
200905,216016.0,1,15.646338275503657,19.975188005073964,18.045935483870966,6.84405,0.0,2.0,19.0,0.1065
200906,221919.0,2,0.4860298071400537,-6.613521223487895,21.658966666666668,6.844666666666666,0.0,2.0,20.0,0.1117
200907,152806.0,2,8.598410534546685,10.06087172332375,23.386935483870968,18.360129032258065,0.0,7.0,16.0,0.0767
200908,158132.0,2,-2.5361099658567365,-5.183090750895847,24.161774193548386,6.475966666666666,0.0,2.0,19.0,0.0765
200909,200189.0,3,3.8564539177269763,8.14284342901026,20.5414,3.287058823529412,0.0,0.0,22.0,0.0937
200910,152679.0,3,5.873214464372856,6.238597668580526,14.863612903225807,3.2589130434782607,0.0,0.0,22.0,0.0981
200911,177603.0,3,-0.3403316260572553,-2.950426356611824,7.302033333333333,3.4343076923076925,0.0,0.0,21.0,0.112
200912,187674.0,0,3.3832856293793734,1.6817585993882833,0.37432258064516133,1.58156,3.0,0.0,20.0,0.1085
201001,67431.0,0,-5.280702204489584,-4.185682618333564,-2.5037096774193546,1.45544,8.0,0.0,13.0,0.034
201002,50654.0,0,1.038911049938629,5.215261177250263,1.8447142857142858,3.869869565217391,1.0,1.0,18.0,0.0359
201003,124332.0,1,5.119059319590047,8.119484395226984,5.003225806451613,3.62775,0.0,0.0,23.0,0.0679
201004,184552.0,1,-5.8416338780381105,-8.147580580842885,9.518,3.892333333333333,0.0,0.0,22.0,0.0913
201005,174767.0,1,-3.992213256629129,-3.6384238587966133,16.867774193548385,6.107904761904761,0.0,1.0,20.0,0.1065
201006,210484.0,2,0.21906590795905956,-2.025889609751308,22.110866666666666,3.4144400000000004,0.0,0.0,22.0,0.1117
201007,166157.0,2,1.6292138661468725,2.206752375905907,25.190838709677422,9.78158064516129,0.0,3.0,19.0,0.0767
201008,118586.0,2,-0.9414026825110611,1.3947718551751365,26.594354838709677,14.276032258064516,0.0,5.0,17.0,0.0765
201009,140086.0,3,5.9885068515185935,6.785376954821198,21.4493,12.869538461538461,0.0,3.0,19.0,0.0937
201010,178226.0,3,3.8313511828732327,4.282879700810316,14.077580645161289,2.8700869565217393,0.0,0.0,21.0,0.0981
201011,224234.0,3,3.5932985522771688,6.4504323771109595,6.426466666666667,0.905,0.0,0.0,22.0,0.112
201012,156130.0,0,5.3944437815694135,3.8943166620726277,0.23383870967741932,1.6373846153846154,6.0,0.0,17.0,0.1085
201101,43757.0,0,12.632009389756993,8.34792540389413,-5.509064516129032,0.5238571428571428,19.0,0.0,2.0,0.034
201102,75768.0,0,5.909452182540065,8.4484535355839,1.4128928571428572,4.872375,0.0,1.0,19.0,0.0359
201103,102379.0,1,6.151674285443121,6.7124182091605755,4.165387096774194,1.39895,0.0,0.0,23.0,0.0679
201104,140360.0,1,-5.0508008103096085,-6.57688586027726,10.7834,5.3302499999999995,0.0,1.0,20.0,0.0913
201105,148008.0,1,1.7714350893364594,-0.5582665112862206,17.048870967741934,6.153739130434783,0.0,2.0,20.0,0.1065
201106,180724.0,2,2.440626180204286,2.0623783825798103,21.746766666666666,11.83674074074074,0.0,4.0,18.0,0.1117
201107,131245.0,2,-2.6157770955355097,-4.524103296750859,24.66393548387097,19.392933333333335,0.0,5.0,16.0,0.0767
201108,130201.0,2,0.13902205851012983,1.2265729826434368,24.772193548387097,12.086033333333335,0.0,2.0,21.0,0.0765
201109,177370.0,3,0.842298986706913,-2.212998219099871,20.617466666666665,5.36752380952381,0.0,0.0,22.0,0.0937
201110,186258.0,3,3.7296428506738533,4.855606208390761,13.22358064516129,4.581785714285714,0.0,0.0,21.0,0.0981
201111,179322.0,3,-3.1770146377934627,-2.3562742601010433,10.457500000000001,4.657608695652174,0.0,1.0,21.0,0.112
201112,186791.0,0,8.062929398087793,3.16872454148176,0.08909677419354833,1.0366153846153845,2.0,0.0,20.0,0.1085
201201,87744.0,0,1.8779332766008627,5.792449632547392,-1.787741935483871,1.0805217391304347,3.0,0.0,19.0,0.034
201202,47040.0,0,1.8799956491500902,5.425924994270326,-1.2941379310344827,0.7460357142857144,5.0,0.0,16.0,0.0359
201203,117388.0,1,-2.0556163248112824,-4.2168594206986825,5.2373548387096776,4.148954545454545,0.0,0.0,22.0,0.0679
201204,141686.0,1,-7.992771233555529,-8.515476237529384,12.356733333333333,6.0655238095238095,0.0,1.0,20.0,0.0913
201205,179163.0,1,-11.793748662677839,-11.99642349368515,17.877741935483872,2.411608695652174,0.0,0.0,23.0,0.1065
201206,207355.0,2,4.266593778916583,4.9822157854700455,21.86413333333333,4.396931034482758,0.0,1.0,20.0,0.1117
201207,121266.0,2,8.175992560165902,9.52402783963393,25.156225806451612,11.821428571428571,0.0,4.0,18.0,0.0767
201208,110899.0,2,1.5586864252345345,2.4209880062271205,25.885322580645163,15.711535714285715,0.0,6.0,17.0,0.0765
201209,161211.0,3,-4.599114190206743,-2.1098801932667333,19.715833333333332,11.135333333333334,0.0,3.0,17.0,0.0937
201210,141331.0,3,-5.30363275963921,-1.48055147157502,13.80393548387097,3.2104999999999997,0.0,0.0,23.0,0.0981
201211,176808.0,3,-0.41026625301271435,-0.8564084122480886,5.989966666666667,3.0055454545454547,0.0,0.0,22.0,0.112
201212,148217.0,0,4.547248950649929,1.5020431890847563,-2.4570322580645163,2.4632592592592593,7.0,0.0,14.0,0.1085
201301,49398.0,0,2.9998526432035266,2.925263363775632,-2.7505161290322584,1.3655,10.0,0.0,13.0,0.034
201302,74014.0,0,-2.9021061603392795,-4.988735838536174,0.14524999999999993,2.813842105263158,3.0,1.0,16.0,0.0359
201303,108457.0,1,-3.089777857769782,-3.672666122631796,6.243225806451613,3.5234210526315795,0.0,0.0,21.0,0.0679
201304,144276.0,1,-1.322981237055787,-1.3274714008328359,9.937800000000001,3.6041666666666665,0.0,0.0,22.0,0.0913
201305,176402.0,1,-0.8604979085943265,-0.002432541471875105,17.553032258064516,6.3589,0.0,1.0,22.0,0.1065
201306,222526.0,2,-0.2453209324523531,3.1878857416505646,22.4699,4.978333333333333,0.0,1.0,19.0,0.1117
201307,132075.0,2,1.411227331138587,3.463558455358129,25.991709677419358,14.128633333333333,0.0,3.0,20.0,0.0767
201308,141364.0,2,0.016643159090556914,1.0911378532693528,26.91148387096774,9.063653846153846,0.0,2.0,20.0,0.0765
201309,137056.0,3,1.2767523812946546,-1.5144851630030653,20.659699999999997,6.467260869565217,0.0,1.0,20.0,0.0937
201310,172858.0,3,-1.8905099770386236,-0.6469979296066297,14.956096774193549,3.612409090909091,0.0,1.0,22.0,0.0981
201311,184129.0,3,1.1755549250139774,1.8093151300635046,6.510866666666667,3.2040952380952383,0.0,0.0,21.0,0.112
