date,demand,quarter,season_sin,season_cos,possible_working_days,avg_weight,ap_price_weight,crude_price_weight,demand_lag1,demand_lag3,ap_price_weight_lag1,ap_price_weight_lag3,ap_price_weight_lag6,crude_price_weight_lag1,crude_price_weight_lag3,crude_price_weight_lag6,demand_rollmean_3,crude_price_weight_rollmean_3,crude_price_weight_rollmean_6
200107,131949.0,3,-0.4999999999999998,-0.8660254037844388,20.0,0.0767,146683.83333333334,144764.16666666666,174338.0,161437.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,160938.0,144764.16666666666,144764.16666666666
200108,174500.0,3,-0.8660254037844384,-0.5000000000000004,23.0,0.0765,146683.83333333334,144764.16666666666,131949.0,176527.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,160262.33333333334,144764.16666666666,144764.16666666666
200109,213406.0,3,-1.0,-1.8369701987210297e-16,19.0,0.0937,146683.83333333334,144764.16666666666,174500.0,174338.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,173285.0,144764.16666666666,144764.16666666666
200110,162373.0,4,-0.8660254037844386,0.5000000000000001,22.0,0.0981,146683.83333333334,144764.16666666666,213406.0,131949.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,183426.33333333334,144764.16666666666,144764.16666666666
200111,231850.0,4,-0.5000000000000004,0.8660254037844384,22.0,0.112,146683.83333333334,144764.16666666666,162373.0,174500.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,202543.0,144764.16666666666,144764.16666666666
200112,210975.0,4,-2.4492935982947064e-16,1.0,21.0,0.1085,146683.83333333334,144764.16666666666,231850.0,213406.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,201732.66666666666,144764.16666666666,144764.16666666666
200201,44976.0,1,0.49999999999999994,0.8660254037844387,22.0,0.034,146683.83333333334,144764.16666666666,210975.0,162373.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,162600.33333333334,144764.16666666666,144764.16666666666
200202,44277.0,1,0.8660254037844386,0.5000000000000001,20.0,0.0359,146683.83333333334,144764.16666666666,44976.0,231850.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,100076.0,144764.16666666666,144764.16666666666
200203,114824.0,1,1.0,6.123233995736766e-17,21.0,0.0679,146683.83333333334,144764.16666666666,44277.0,210975.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,68025.66666666667,144764.16666666666,144764.16666666666
200204,157291.0,2,0.8660254037844387,-0.49999999999999983,20.0,0.0913,146683.83333333334,144764.16666666666,114824.0,44976.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,105464.0,144764.16666666666,144764.16666666666
200205,217101.0,2,0.49999999999999994,-0.8660254037844387,22.0,0.1065,146683.83333333334,144764.16666666666,157291.0,44277.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,163072.0,144764.16666666666,144764.16666666666
200206,156575.0,2,1.2246467991473532e-16,-1.0,20.0,0.1117,146683.83333333334,144764.16666666666,217101.0,114824.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,176989.0,144764.16666666666,144764.16666666666
200207,116685.0,3,-0.4999999999999998,-0.8660254037844388,21.0,0.0767,146683.83333333334,144764.16666666666,156575.0,157291.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,163453.66666666666,144764.16666666666,144764.16666666666
200208,107844.0,3,-0.8660254037844384,-0.5000000000000004,16.0,0.0765,141579.9,144764.16666666666,116685.0,217101.0,146683.83333333334,146683.83333333334,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,127034.66666666667,144764.16666666666,144764.16666666666
