date,ta_avg_mean,rn_day_mean,n_stations_ta,n_stations_rn
2001-01-01,-2.94,0.578,57,27
2001-01-02,-0.086,0.241,57,34
2001-01-03,-4.874,0.371,57,17
2001-01-04,-6.375,0.62,56,15
2001-01-05,-5.598,0.0,57,1
2001-01-06,-2.395,0.675,57,4
2001-01-07,2.13,28.274,57,57
2001-01-08,2.982,2.048,57,27
2001-01-09,2.012,5.24,57,57
2001-01-10,-2.979,0.488,57,8
2001-01-11,-3.426,0.536,57,39
2001-01-12,-7.756,0.0,57,3
2001-01-13,-6.863,3.138,57,37
2001-01-14,-10.941,0.841,56,17
2001-01-15,-12.196,0.44,56,10
2001-01-16,-10.804,0.15,57,10
2001-01-17,-7.111,0.05,55,12
2001-01-18,-1.36,0.217,57,30
2001-01-19,-0.419,0.794,57,31
2001-01-20,1.605,8.776,57,55
2001-01-21,-0.823,,57,0
2001-01-22,-1.36,,57,0
2001-01-23,-2.193,0.0,57,1
2001-01-24,-0.549,0.05,57,6
2001-01-25,2.426,0.838,57,13
2001-01-26,2.463,0.632,57,31
2001-01-27,1.009,2.674,57,57
2001-01-28,-1.067,0.578,57,45
2001-01-29,-2.204,0.871,57,35
2001-01-30,-1.263,0.128,57,18
2001-01-31,-0.188,2.228,57,39
2001-02-01,-2.298,0.021,57,14
2001-02-02,-4.391,0.295,57,20
2001-02-03,0.033,0.204,57,25
2001-02-04,1.688,0.0,57,2
2001-02-05,2.158,0.033,57,3
2001-02-06,3.539,3.174,57,19
2001-02-07,1.051,0.737,57,19
2001-02-08,-3.661,0.136,57,14
2001-02-09,-1.321,0.337,57,30
2001-02-10,-0.961,,57,0
2001-02-11,-1.298,,57,0
2001-02-12,-1.389,,57,0
2001-02-13,-1.719,0.0,57,1
2001-02-14,-2.789,0.75,57,2
2001-02-15,-0.97,6.263,57,57
2001-02-16,-3.064,0.278,56,9
2001-02-17,-2.084,0.0,57,2
2001-02-18,3.135,0.05,57,4
2001-02-19,4.184,,57,0
2001-02-20,4.153,,57,0
2001-02-21,4.251,2.18,57,41
2001-02-22,5.258,,57,0
2001-02-23,3.405,19.533,57,57
2001-02-24,1.295,7.435,57,57
2001-02-25,-0.556,0.167,57,3
2001-02-26,0.867,,57,0
2001-02-27,2.707,13.658,57,57
2001-02-28,5.119,12.113,57,56
2001-03-01,4.163,2.777,57,35
2001-03-02,4.379,0.5,57,2
2001-03-03,5.032,3.031,57,54
2001-03-04,-0.584,1.518,57,55
2001-03-05,2.511,0.0,57,3
2001-03-06,5.233,0.275,57,20
2001-03-07,0.289,0.08,57,20
2001-03-08,-3.023,0.741,57,39
2001-03-09,-0.228,0.529,57,24
2001-03-10,2.572,4.009,57,22
2001-03-11,0.698,0.0,57,1
2001-03-12,1.798,0.0,57,1
2001-03-13,3.772,0.0,57,3
2001-03-14,8.932,0.389,57,19
